LakeID,Depth_ft,Depth_m,area
AL,0,0,1678997.1437981504
AL,3,0.9144000000000001,1317944.8035112042
AL,5,1.524,902720.3339873564
AL,10,3.048,622194.2423017003
AL,15,4.572,533720.2085453974
AL,20,6.096,294412.55872732215
BM,0,0,3877620.037262008
BM,5,1.524,3369578.4983474836
BM,10,3.048,2597907.866319039
BM,15,4.572,2355682.4214684516
BM,20,6.096,2081637.241698094
BM,25,7.62,1794772.1297667804
BM,30,9.144,1431809.5446559556
BM,35,10.668000000000001,1085401.656320716
BM,40,12.192,908461.7408093803
BM,45,13.716000000000001,677889.934303664
BM,50,15.24,474126.3576827482
BM,55,16.764,251718.7945391932
BM,60,18.288,75477.79169275129
BM,65,19.812,17332.175574380904
BM,70,21.336000000000002,783.1148643144406
CB,0,0,3904.1942135271383
CB,5,1.524,2950.922658289608
CB,6,1.8288000000000002,1800.0835762822535
CB,7,2.1336,1761.1428712193738
CB,8,2.4384,108.11026145731012
CR,0,0,379176.1291961139
CR,5,1.524,346326.50247064256
CR,10,3.048,281138.8215692468
CR,15,4.572,266127.2397058137
CR,20,6.096,256061.73482823488
CR,25,7.62,245588.99591065198
CR,30,9.144,230371.83826015954
CR,35,10.668000000000001,209112.08884965803
CR,40,12.192,179551.241595037
CR,45,13.716000000000001,145943.43893383897
CR,50,15.24,113232.00925905256
CR,55,16.764,85596.26693858171
CR,60,18.288,56069.84028012655
CR,65,19.812,21396.405022653285
SP,0,0,583110.1158837886
SP,5,1.524,530994.6380973815
SP,10,3.048,494813.69956342503
SP,15,4.572,466853.58358074515
SP,20,6.096,430512.7215890046
SP,25,7.62,395982.9541882435
SP,30,9.144,369005.24046341237
SP,35,10.668000000000001,324003.2241711586
SP,40,12.192,285676.89808222395
SP,45,13.716000000000001,249648.50752713438
SP,50,15.24,215828.9699054337
SP,55,16.764,132310.90053830575
SP,60,18.288,60097.54501535511
TB,0,0,10809.402239693212
TB,7,2.1336,10220.974440030986
TB,10,3.048,9246.988913987821
TB,13,3.9624,8220.743928384036
TB,16,4.8768,7317.191669326043
TB,20,6.096,6107.171072680212
TB,21,6.4008,5006.869656805182
TB,23,7.010400000000001,3453.739948996925
TB,25,7.62,676.4883247183461
TR,0,0,15555107.63761274
TR,10,3.048,14330067.94840953
TR,20,6.096,12186227.21658439
TR,30,9.144,10525824.073010918
TR,40,12.192,8285548.38874851
TR,50,15.24,6899447.627156936
TR,60,18.288,5844072.444438672
TR,70,21.336000000000002,4948201.257869264
TR,80,24.384,3823119.1157985195
TR,90,27.432000000000002,2303341.018136779
TR,100,30.48,1560052.6374721676
TR,110,33.528,386032.37915437296
ME,0,0,38798532.46711576
ME,3,0.9144000000000001,37590567.075138375
ME,5,1.524,35033054.06244817
ME,10,3.048,31759311.316061992
ME,15,4.572,29172794.66996306
ME,20,6.096,27630500.847433597
ME,25,7.62,26743938.852557488
ME,30,9.144,25900668.980242584
ME,35,10.668000000000001,23997720.94290756
ME,40,12.192,22501881.207308337
ME,45,13.716000000000001,20155055.11129683
ME,50,15.24,18006228.592354313
ME,55,16.764,14943896.704733636
ME,60,18.288,12348532.718081694
ME,65,19.812,8518724.446981104
ME,70,21.336000000000002,4843634.090391871
ME,75,22.86,2042268.467051301
ME,80,24.384,394689.04520541243
MO,0,0,13884169.678675907
MO,3,0.9144000000000001,12689269.271122778
MO,5,1.524,11865672.157151733
MO,10,3.048,10286084.955417609
MO,15,4.572,9255017.274501158
MO,20,6.096,8474224.916144479
MO,25,7.62,7446466.575188484
MO,30,9.144,6777323.0605608085
MO,35,10.668000000000001,5514653.276856568
MO,40,12.192,3843207.2468022443
MO,45,13.716000000000001,2825649.2572826594
MO,50,15.24,1373714.6502649076
MO,55,16.764,594777.6761086304
MO,60,18.288,222215.4069791492
MO,65,19.812,73800.20725221047
MO,70,21.336000000000002,21156.795941314194
WI,0,0,1526529.1053455106
WI,2,0.6096,1246290.5832859934
WI,3,0.9144000000000001,1070013.9240200403
WI,6,1.8288000000000002,854545.874446719
WI,12,3.6576000000000004,24545.401071260218
